baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
997.439773207048,4.602525676927583,0.21177075671587214,21.733528029569655,9.890364158996044e-105,1.8381241789494146e-100
11193.718773887016,1.4514658799740565,0.08482489183153775,17.11132014004413,1.221982246830233e-65,1.135527002866994e-61
776.596665468835,3.1838572811759787,0.2015154410163272,15.79956982511338,3.1324679450767114e-56,1.9405638919750228e-52
2737.98198594824,1.387140978039139,0.09158424582765413,15.146065412270804,8.044039127873871e-52,3.7374616797883974e-48
3656.252782246999,2.2034386453179353,0.1474086634438233,14.947823240780245,1.6092387961392506e-50,5.981540605249594e-47
3409.0293753095643,2.948983401537523,0.20161362126382157,14.62690557836184,1.8919846566086113e-48,5.860422473845173e-45
2341.7672527559093,3.305200547746318,0.22811111148005556,14.489432480080225,1.413054790702756e-47,3.751660469315817e-44
385.0710288625155,7.176080541696531,0.49660050679497253,14.45040921929478,2.4920086277818257e-47,5.789247543415654e-44
2649.850148958817,-2.4999126498667015,0.17893289738846627,-13.971229921121491,2.335581074905891e-44,4.822974919680665e-41
12703.387062182112,3.857723016211082,0.2794934784994904,13.802551089642385,2.459908178049924e-43,4.571739348905783e-40
5393.101683492233,2.0299266957031006,0.15171773055220455,13.379627340290481,7.954518863331864e-41,1.3439521188638426e-37
229.64074274042454,-2.216934681857467,0.16666134051860812,-13.302033182734068,2.2525846284428743e-40,3.4886904433009017e-37
2564.362226872678,3.938402633376759,0.2970681122585384,13.257574511899032,4.0787542816837045e-40,5.831049871160896e-37
2250.5969488439405,-1.0145169933340166,0.08232160968976145,-12.32382356415699,6.742021085522704e-35,8.35336412496263e-32
1467.6358270399212,1.5209391659364913,0.12338774563161438,12.326500967749237,6.52177025150327e-35,8.35336412496263e-32
7432.936351634205,2.1621912951381272,0.17755092449551213,12.177865597048918,4.078150365893067e-34,4.737026534382666e-31
498.69042156346774,1.1580423299510356,0.09698978196939533,11.939838469958108,7.33655322887648e-33,8.020578926980552e-30
1303.2727454240644,-1.350323722832745,0.11607419495333243,-11.63328096633056,2.7915753331823476e-31,2.882301531510774e-28
2057.1917305934803,2.8949081106016976,0.25074820855225877,11.54507993223954,7.8168769930292465e-31,7.646139942918344e-28
5596.349666908656,1.124530460771818,0.09805107611966736,11.46882324268807,1.892147773978692e-30,1.7582783189696992e-27
100990.69435151486,-1.2994988615111625,0.11528151033654624,-11.272396221366982,1.796140876589196e-29,1.5895846757814385e-26
19611.182181345615,3.0041332412131334,0.26890480333349115,11.1717351418504,5.607463757068663e-29,4.737032451141868e-26
561.1071661290711,4.582150716294556,0.41248958501377175,11.108524633759108,1.1402788975078292e-28,9.21394926529696e-26
508.1702324397553,-3.6093681635281905,0.3265469057699592,-11.053138461127736,2.116826065166941e-28,1.63921718421365e-25
1920.710129862853,1.5567326594759212,0.1410159351508336,11.039409537729245,2.466486206963437e-28,1.833585846256619e-25
1570.6346101491392,1.2068506147061526,0.10967419308526102,11.003961650011354,3.6570445645984838e-28,2.6140835858870316e-25
1223.4661408110164,2.2539149350255023,0.205632039412754,10.960913199432612,5.890197583022175e-28,4.0544193363135976e-25
1010.293461342359,1.3568560769184577,0.12561137861705476,10.802015644259729,3.367290880266817e-27,2.2350393217770997e-24
630.8741852919744,-1.2724750771942772,0.11831269801034258,-10.75518603322731,5.6020866162580386e-27,3.59016481941916e-24
5040.482677662727,1.0282826455866736,0.09587706677409184,10.725011519277505,7.767739480004744e-27,4.812114607862939e-24
495.09290669854613,3.300488181165879,0.3085225817299048,10.697719961565994,1.0431336101191356e-26,6.253754240020688e-24
152.37254422485304,-2.786586348063901,0.2617239725538546,-10.647042840107085,1.7999220232443474e-26,1.0453609625623812e-23
3232.635437121343,2.4398245379906625,0.2294640786635462,10.632707969808544,2.0992686904640062e-26,1.1822699579476834e-23
1701.2338797806779,1.104974277521697,0.1049925237029872,10.524313908746045,6.674591893491288e-26,3.6484497158981054e-23
160.22505904844687,-2.4726147318241645,0.23671395047044078,-10.445580950806395,1.5351257275731632e-25,8.151517613413496e-23
2987.6707198172157,-1.1691476237772724,0.11214576016042928,-10.425250335855383,1.901579191435028e-25,9.816902575783333e-23
3082.0691351298196,2.700545695944809,0.2610655433858034,10.344320667220089,4.440543731516296e-25,2.230473114871091e-22
1683.2682077276952,2.1101089662763233,0.2058331443719733,10.251550947805665,1.1645963919320854e-24,5.695795774752054e-22
2266.2745018764117,1.0806198793863968,0.1056313698513051,10.230103812035772,1.4536347120987172e-24,6.927128493424272e-22
1974.8830791701741,2.16283209120193,0.21170129146497707,10.216433146132882,1.6738707730544228e-24,7.777222079304111e-22
167.61550568307638,2.932640322449025,0.2872764026367502,10.208427477968785,1.817870308800797e-24,8.240273094893369e-22
627.5272330351917,2.355522765296638,0.23314853410328715,10.103099186774719,5.352341966894786e-24,2.3684113203509428e-21
70.30280274766301,2.3345277507732476,0.23112789667704486,10.10058839429186,5.491172203941436e-24,2.3733357072151532e-21
1975.8673223812013,-0.9911541394435948,0.09831880644311711,-10.081022901931101,6.702468788435908e-24,2.831031418933667e-21
26348.276920473865,-0.963940746154567,0.09589501990056824,-10.052041776038623,8.998340136449056e-24,3.71631447635346e-21
12285.615149869102,3.74276281324667,0.37711441149501174,9.924740872164142,3.2494565498653523e-23,1.312851086505382e-20
3055.9738480542605,1.547838632229077,0.15616497098892346,9.911560975725234,3.708068409152899e-23,1.4662649230660985e-20
3319.8690890490093,0.8225507516329085,0.08359904810205145,9.8392358562360691,7.628805163596428e-23,2.953777999279992e-20
